Objectid,Title,Type,Date,Creator,Description,Subject,Location,Source,Page URL,Format,Language,Rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
17551273,PRIZE-GIVINGS. SCHOOL AWARDS. Additional Lists.,"Detailed lists, results, guides",12/29/1938,The Sydney Morning Herald (NSW : 1842 - 1954),,Prize-giving,"Hurstville, NSW",http://nla.gov.au/nla.news-article17551273,http://trove.nla.gov.au/newspaper/page/1175697,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/17551273.jpg,,,,
18397479,C. E. School Appointment,Article,11/21/1953,The Sydney Morning Herald (NSW : 1842 - 1954),,School leadership,"Hurstville, NSW",http://nla.gov.au/nla.news-article18397479,http://trove.nla.gov.au/newspaper/page/1065622,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/18397479.jpg,,,,
27981314,"DANEBANK PREPARATORY SCHOOL, HURSTVILLE.","Detailed lists, results, guides",12/22/1937,The Sydney Morning Herald (NSW : 1842 - 1954),,,"Hurstville, NSW",http://nla.gov.au/nla.news-article27981314,http://trove.nla.gov.au/newspaper/page/1185322,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/27981314.jpg,,,,
101051915,DOGS,Article,3/17/1938,"Nepean Times (Penrith, NSW : 1882 - 1962)",,Dogs,"Hurstville, NSW",http://nla.gov.au/nla.news-article101051915,http://trove.nla.gov.au/newspaper/page/10718746,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/101051915.jpg,,,,
116408774,"Government entitled to private schools' moral support, Ryan says",Article,9/26/1983,The Canberra Times (ACT : 1926 - 1995),,,"Hurstville, NSW",http://nla.gov.au/nla.news-article116408774,http://trove.nla.gov.au/newspaper/page/12863701,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/116408774.jpg,,,,
117921276,Pre-Wedding Parties,Article,11/15/1951,"Nepean Times (Penrith, NSW : 1882 - 1962)",,Family notices,"Hurstville, NSW",http://nla.gov.au/nla.news-article117921276,http://trove.nla.gov.au/newspaper/page/13047229,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/117921276.jpg,,,,
118151028,Festival justifies dance as natural self-expression,Article,6/16/1991,The Canberra Times (ACT : 1926 - 1995),,,"Hurstville, NSW",http://nla.gov.au/nla.news-article118151028,http://trove.nla.gov.au/newspaper/page/13007073,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/118151028.jpg,,,,
118183197,Advertising,Advertising,4/4/1987,The Canberra Times (ACT : 1926 - 1995),,,"Hurstville, NSW",http://nla.gov.au/nla.news-article118183197,http://trove.nla.gov.au/newspaper/page/13036587,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/118183197.jpg,,,,
122384531,SPORT Sport results and details A.C.T. & DISTRICT  BOWLS CANBERRA SOUTH SEPTEMBER 14,"Detailed lists, results, guides",9/16/1991,The Canberra Times (ACT : 1926 - 1995),,School events,"Hurstville, NSW",http://nla.gov.au/nla.news-article122384531,http://trove.nla.gov.au/newspaper/page/13010700,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/122384531.jpg,,,,
128288385,Jumper has qualities to reach heights Radford's girls win in hockey  JUNIOR SPORT,Article,7/19/1995,The Canberra Times (ACT : 1926 - 1995),,School sports,"Hurstville, NSW",http://nla.gov.au/nla.news-article128288385,http://trove.nla.gov.au/newspaper/page/14187556,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/128288385.jpg,,,,
